"sp0","bec_zone","bole","branches","bark","foliage","total"
"S","SBS",0.3815,0.0757,0.0421,0.04,0.5393
"S","SWB",0.3849,0.0777,0.0632,0.052,0.5778
"Y","AT",0.6412,0.0464,0.0404,0.0348,0.7628
"Y","BG",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","BWBS",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","CDF",0.4159,0.0713,0.0413,0.0693,0.5978
"Y","CWH",0.5936,0.0397,0.0362,0.0276,0.6971
"Y","ESSF",0.5176,0.0483,0.0366,0.0417,0.6442
"Y","ICH",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","IDF",0.341,0.1283,0.0595,0.1368,0.6656
"Y","MH",0.6132,0.0404,0.0371,0.0278,0.7185
"Y","MS",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","PP",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","SBPS",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","SBS",0.5204,0.0624,0.0418,0.0563,0.6809
"Y","SWB",0.5204,0.0624,0.0418,0.0563,0.6809
